FechaHora,Fecha,Hora,Punto,Foto,Individuos,Clase,Especie,Observaciones,
15/04/2023 12:18:00,15/04/2023,12:18:00,QC05_3,IMG_0001,1,,Ave_sp,,
15/04/2023 16:12:00,15/04/2023,16:12:00,QC05_3,IMG_0013,2,,Btau,,
19/04/2023 14:52:00,19/04/2023,14:52:00,QC05_3,IMG_0199,1,,Btau,,
19/04/2023 16:28:00,19/04/2023,16:28:00,QC05_3,IMG_0207,1,,Btau,,
19/04/2023 18:04:00,19/04/2023,18:04:00,QC05_3,IMG_0249,1,,Btau,,
20/04/2023 9:15:00,20/04/2023,09:15:00,QC05_3,IMG_0294,1,,Btau,,
21/04/2023 9:16:00,21/04/2023,09:16:00,QC05_3,IMG_0321,1,,Btau,,
21/04/2023 13:17:00,21/04/2023,13:17:00,QC05_3,IMG_0381,1,,Btau,,
23/04/2023 8:59:00,23/04/2023,08:59:00,QC05_3,IMG_0430,1,,Btau,,
24/04/2023 11:54:00,24/04/2023,11:54:00,QC05_3,IMG_0463,1,,Btau,,
24/04/2023 14:05:00,24/04/2023,14:05:00,QC05_3,IMG_0474,5,,Btau,,
24/04/2023 17:44:00,24/04/2023,17:44:00,QC05_3,IMG_0640,1,,Btau,,
25/04/2023 14:42:00,25/04/2023,14:42:00,QC05_3,IMG_0663,2,,Btau,,
26/04/2023 8:20:00,26/04/2023,08:20:00,QC05_3,IMG_0681,2,,Btau,,
26/04/2023 10:39:00,26/04/2023,10:39:00,QC05_3,IMG_0690,1,,Btau,,
27/04/2023 10:30:00,27/04/2023,10:30:00,QC05_3,IMG_0724,3,,Btau,,
28/04/2023 17:04:00,28/04/2023,17:04:00,QC05_3,IMG_0791,1,,Btau,,
30/04/2023 16:24:00,30/04/2023,16:24:00,QC05_3,IMG_0273,1,,Btau,,
5/05/2023 11:19:00,05/05/2023,11:19:00,QC05_3,IMG_0482,2,,Btau,,
5/05/2023 16:00:00,05/05/2023,16:00:00,QC05_3,IMG_0486,1,,Btau,,
6/05/2023 7:41:00,06/05/2023,07:41:00,QC05_3,IMG_0529,2,,Btau,,
8/05/2023 8:30:00,08/05/2023,08:30:00,QC05_3,IMG_0672,1,,Ave_sp,,
9/05/2023 8:31:00,09/05/2023,08:31:00,QC05_3,IMG_0342,2,,Btau,,
9/05/2023 16:03:00,09/05/2023,16:03:00,QC05_3,IMG_0969,1,,Btau,,
