sitio,especie,incidencia,tasa_registro
CP,Btau,62.86,0.1214
CP,Aaxi,48.57,0.1063
CP,Ctho,45.71,0.0354
CP,Leur,31.43,0.0373
CP,Cchi,22.86,0.0074
CP,Cfam,22.86,0.0161
CP,Lgym,20,0.0175
CP,Mgou,17.14,0.0115
CP,Dnov,14.29,0.0046
CP,Lgeo,11.43,0.0023
CP,Ecab,8.57,0.0557
CP,Esex,8.57,0.0101
CP,Lwie,8.57,0.0028
CP,Pcan,8.57,0.0018
CP,Dalb,5.71,9e-4
CP,Fcat,2.86,9e-4
CP,Gcuj,2.86,5e-4
CP,Oari,2.86,0.011
CV,Aaxi,47.83,0.0452
CV,Ctho,47.83,0.0345
CV,Btau,43.48,0.1724
CV,Mgou,26.09,0.0829
CV,Ecab,21.74,0.0164
CV,Lgym,17.39,0.0066
CV,Cfam,13.04,0.0025
CV,Dnov,13.04,0.0082
CV,Sscr,13.04,0.014
CV,Dsep,8.7,0.0041
CV,Leur,8.7,0.0016
CV,Esex,4.35,8e-4
CV,Lgeo,4.35,0.0025
LG,Ctho,58.82,0.0654
LG,Aaxi,55.88,0.1364
LG,Btau,55.88,0.1928
LG,Lgym,47.06,0.0875
LG,Mgou,41.18,0.0406
LG,Dnov,35.29,0.0427
LG,Lgeo,32.35,0.0337
LG,Pcan,29.41,0.0255
LG,Cchi,26.47,0.0537
LG,Cfam,26.47,0.0324
LG,Esex,23.53,0.0069
LG,Leur,23.53,0.0172
LG,Dsep,17.65,0.0138
LG,Sscr,17.65,0.0069
LG,Ecab,14.71,0.0303
LG,Fcat,14.71,0.0262
LG,Lwie,14.71,0.009
LG,Oari,14.71,0.0868
LG,Gcuj,11.76,0.0055
LG,Hhyd,8.82,0.009
LG,Dalb,5.88,0.0014
LR,Btau,75,0.684
LR,Lgym,71.67,0.1962
LR,Cfam,35,0.0207
LR,Ecab,35,0.1384
LR,Ctho,33.33,0.0248
LR,Cchi,31.67,0.0687
LR,Esex,30,0.0336
LR,Oari,28.33,0.2963
LR,Dsep,21.67,0.032
LR,Lgeo,20,0.0119
LR,Dnov,16.67,0.0237
LR,Hhyd,15,0.0676
LR,Leur,13.33,0.0124
LR,Mcoy,10,0.015
LR,Dalb,8.33,0.0098
LR,Pcan,6.67,0.0026
LR,Aaxi,3.33,0.0015
LR,Fcat,3.33,0.0021
LR,Llon,1.67,5e-4
LR,Mgou,1.67,0.0015
LR,Sscr,1.67,5e-4
PT,Aaxi,77.78,0.173
PT,Hhyd,66.67,0.4171
PT,Sscr,66.67,0.3497
PT,Ctho,55.56,0.0455
PT,Lgym,55.56,0.0237
PT,Mgou,55.56,0.0583
PT,Btau,44.44,0.2149
PT,Dnov,33.33,0.0601
PT,Cfam,11.11,0.0018
PT,Dsep,11.11,0.0055
PT,Lgeo,11.11,0.0036
PT,Lwie,11.11,0.0237
PT,Pcan,11.11,0.0437
SG,Ctho,75,0.1327
SG,Leur,66.67,0.0836
SG,Dnov,50,0.0255
SG,Lgeo,41.67,0.0164
SG,Lgym,41.67,0.1091
SG,Mgou,33.33,0.0345
SG,Cchi,25,0.0364
SG,Cfam,25,0.0145
SG,Fcat,16.67,0.08
SG,Aaxi,8.33,0.0036
SG,Btau,8.33,0.0073
SG,Dsep,8.33,0.0018
SG,Lwie,8.33,0.0036
SG,Pcan,8.33,0.0018
SG,Sscr,8.33,0.0018
SM,Btau,55,0.284
SM,Ctho,45,0.0362
SM,Mgou,25,0.0395
SM,Sscr,25,0.0537
SM,Cfam,20,0.0066
SM,Leur,20,0.0143
SM,Pcan,20,0.0055
SM,Dnov,15,0.0285
SM,Lgym,15,0.0219
SM,Oari,15,0.0384
SM,Ecab,10,0.0154
SM,Cchi,5,0.0011
SM,Dalb,5,0.0022
SM,Lgeo,5,0.0011
SM,Lwie,5,0.0011
